day,date,quantity,cumulative,ducks,all ducks,at least one egg
1,11/5/2020,0,0,4,0,0
2,11/6/2020,1,1,4,0,1
3,11/7/2020,0,1,4,0,0
4,11/8/2020,0,1,4,0,0
5,11/9/2020,0,1,4,0,0
6,11/10/2020,0,1,4,0,0
7,11/11/2020,0,1,4,0,0
8,11/12/2020,0,1,4,0,0
9,11/13/2020,0,1,4,0,0
10,11/14/2020,0,1,4,0,0
11,11/15/2020,0,1,4,0,0
12,11/16/2020,0,1,4,0,0
13,11/17/2020,0,1,4,0,0
14,11/18/2020,0,1,4,0,0
15,11/19/2020,0,1,4,0,0
16,11/20/2020,0,1,4,0,0
17,11/21/2020,0,1,4,0,0
18,11/22/2020,1,2,4,0,1
19,11/23/2020,1,3,4,0,1
20,11/24/2020,1,4,4,0,1
21,11/25/2020,0,4,4,0,0
22,11/26/2020,0,4,4,0,0
23,11/27/2020,0,4,4,0,0
24,11/28/2020,0,4,4,0,0
25,11/29/2020,0,4,4,0,0
26,11/30/2020,0,4,4,0,0
27,12/1/2020,0,4,4,0,0
28,12/2/2020,0,4,4,0,0
29,12/3/2020,0,4,4,0,0
30,12/4/2020,0,4,4,0,0
31,12/5/2020,0,4,4,0,0
32,12/6/2020,0,4,4,0,0
33,12/7/2020,1,5,4,0,1
34,12/8/2020,1,6,4,0,1
35,12/9/2020,0,6,4,0,0
36,12/10/2020,1,7,4,0,1
37,12/11/2020,0,7,4,0,0
38,12/12/2020,0,7,4,0,0
39,12/13/2020,2,9,4,0,1
40,12/14/2020,0,9,4,0,0
41,12/15/2020,0,9,4,0,0
42,12/16/2020,0,9,4,0,0
43,12/17/2020,0,9,4,0,0
44,12/18/2020,0,9,4,0,0
45,12/19/2020,0,9,4,0,0
46,12/20/2020,0,9,4,0,0
47,12/21/2020,1,10,4,0,1
48,12/22/2020,1,11,4,0,1
49,12/23/2020,0,11,4,0,0
50,12/24/2020,2,13,4,0,1
51,12/25/2020,1,14,4,0,1
52,12/26/2020,1,15,4,0,1
53,12/27/2020,0,15,4,0,0
54,12/28/2020,1,16,4,0,1
55,12/29/2020,1,17,4,0,1
56,12/30/2020,1,18,4,0,1
57,12/31/2020,1,19,4,0,1
58,1/1/2021,0,19,4,0,0
59,1/2/2021,1,20,4,0,1
60,1/3/2021,0,20,4,0,0
61,1/4/2021,0,20,4,0,0
62,1/5/2021,0,20,4,0,0
63,1/6/2021,1,21,4,0,1
64,1/7/2021,1,22,4,0,1
65,1/8/2021,1,23,4,0,1
66,1/9/2021,2,25,4,0,1
67,1/10/2021,2,27,4,0,1
68,1/11/2021,1,28,4,0,1
69,1/12/2021,2,30,4,0,1
70,1/13/2021,2,32,4,0,1
71,1/14/2021,1,33,4,0,1
72,1/15/2021,2,35,4,0,1
73,1/16/2021,2,37,4,0,1
74,1/17/2021,1,38,4,0,1
75,1/18/2021,4,42,4,1,1
76,1/19/2021,3,45,4,0,1
77,1/20/2021,3,48,4,0,1
78,1/21/2021,4,52,4,1,1
79,1/22/2021,3,55,4,0,1
80,1/23/2021,4,59,4,1,1
81,1/24/2021,4,63,4,1,1
82,1/25/2021,3,66,4,0,1
83,1/26/2021,4,70,4,1,1
84,1/27/2021,4,74,4,1,1
85,1/28/2021,5,79,4,1,1
86,1/29/2021,4,83,4,1,1
87,1/30/2021,4,87,4,1,1
88,1/31/2021,4,91,4,1,1
89,2/1/2021,4,95,4,1,1
90,2/2/2021,4,99,4,1,1
91,2/3/2021,4,103,4,1,1
92,2/4/2021,4,107,4,1,1
93,2/5/2021,4,111,4,1,1
94,2/6/2021,4,115,4,1,1
95,2/7/2021,4,119,4,1,1
96,2/8/2021,3,122,4,0,1
97,2/9/2021,3,125,4,0,1
98,2/10/2021,4,129,4,1,1
99,2/11/2021,4,133,4,1,1
100,2/12/2021,4,137,4,1,1
101,2/13/2021,4,141,4,1,1
102,2/14/2021,3,144,4,0,1
103,2/15/2021,3,147,4,0,1
104,2/16/2021,3,150,4,0,1
105,2/17/2021,4,154,4,1,1
106,2/18/2021,4,158,4,1,1
107,2/19/2021,4,162,4,1,1
108,2/20/2021,4,166,4,1,1
109,2/21/2021,3,169,4,0,1
110,2/22/2021,4,173,4,1,1
111,2/23/2021,3,176,4,0,1
112,2/24/2021,4,180,4,1,1
113,2/25/2021,4,184,4,1,1
114,2/26/2021,4,188,4,1,1
115,2/27/2021,4,192,4,1,1
116,2/28/2021,4,196,4,1,1
117,3/1/2021,4,200,4,1,1
118,3/2/2021,4,204,4,1,1
119,3/3/2021,4,208,4,1,1
120,3/4/2021,4,212,4,1,1
121,3/5/2021,4,216,4,1,1
122,3/6/2021,4,220,4,1,1
123,3/7/2021,4,224,4,1,1
124,3/8/2021,4,228,4,1,1
125,3/9/2021,4,232,4,1,1
126,3/10/2021,3,235,4,0,1
127,3/11/2021,5,240,4,1,1
128,3/12/2021,4,244,4,1,1
129,3/13/2021,4,248,4,1,1
130,3/14/2021,3,251,4,0,1
131,3/15/2021,4,255,4,1,1
132,3/16/2021,4,259,4,1,1
133,3/17/2021,4,263,4,1,1
134,3/18/2021,4,267,4,1,1
135,3/19/2021,4,271,4,1,1
136,3/20/2021,4,275,4,1,1
137,3/21/2021,4,279,4,1,1
138,3/22/2021,3,282,4,0,1
139,3/23/2021,3,285,4,0,1
140,3/24/2021,4,289,4,1,1
141,3/25/2021,4,293,4,1,1
142,3/26/2021,4,297,4,1,1
143,3/27/2021,4,301,4,1,1
144,3/28/2021,3,304,4,0,1
145,3/29/2021,3,307,4,0,1
146,3/30/2021,3,310,4,0,1
147,3/31/2021,3,313,4,0,1
148,4/1/2021,3,316,4,0,1
149,4/2/2021,4,320,4,1,1
150,4/3/2021,3,323,4,0,1
151,4/4/2021,4,327,4,1,1
152,4/5/2021,4,331,4,1,1
153,4/6/2021,3,334,4,0,1
154,4/7/2021,4,338,4,1,1
155,4/8/2021,3,341,4,0,1
156,4/9/2021,3,344,4,0,1
157,4/10/2021,4,348,4,1,1
158,4/11/2021,3,351,4,0,1
159,4/12/2021,4,355,4,1,1
160,4/13/2021,3,358,4,0,1
161,4/14/2021,4,362,4,1,1
162,4/15/2021,4,366,4,1,1
163,4/16/2021,3,369,4,0,1
164,4/17/2021,2,371,4,0,1
165,4/18/2021,4,375,4,1,1
166,4/19/2021,4,379,4,1,1
167,4/20/2021,4,383,4,1,1
168,4/21/2021,3,386,4,0,1
169,4/22/2021,4,390,4,1,1
170,4/23/2021,3,393,4,0,1
171,4/24/2021,4,397,4,1,1
172,4/25/2021,4,401,4,1,1
173,4/26/2021,4,405,4,1,1
174,4/27/2021,4,409,4,1,1
175,4/28/2021,4,413,4,1,1
176,4/29/2021,3,416,4,0,1
177,4/30/2021,4,420,4,1,1
178,5/1/2021,3,423,4,0,1
179,5/2/2021,3,426,4,0,1
180,5/3/2021,3,429,4,0,1
181,5/4/2021,3,432,4,0,1
182,5/5/2021,2,434,4,0,1
183,5/6/2021,3,437,4,0,1
184,5/7/2021,3,440,4,0,1
185,5/8/2021,3,443,4,0,1
186,5/9/2021,3,446,4,0,1
187,5/10/2021,4,450,4,1,1
188,5/11/2021,3,453,4,0,1
189,5/12/2021,3,456,4,0,1
190,5/13/2021,3,459,4,0,1
191,5/14/2021,3,462,4,0,1
192,5/15/2021,3,465,4,0,1
193,5/16/2021,3,468,4,0,1
194,5/17/2021,3,471,4,0,1
195,5/18/2021,3,474,4,0,1
196,5/19/2021,3,477,4,0,1
