day,date,quantity,cumulative
1,11/5/2020,0,0
2,11/6/2020,1,1
3,11/7/2020,0,1
4,11/8/2020,0,1
5,11/9/2020,0,1
6,11/10/2020,0,1
7,11/11/2020,0,1
8,11/12/2020,0,1
9,11/13/2020,0,1
10,11/14/2020,0,1
11,11/15/2020,0,1
12,11/16/2020,0,1
13,11/17/2020,0,1
14,11/18/2020,0,1
15,11/19/2020,0,1
16,11/20/2020,0,1
17,11/21/2020,0,1
18,11/22/2020,1,2
19,11/23/2020,1,3
20,11/24/2020,1,4
21,11/25/2020,0,4
22,11/26/2020,0,4
23,11/27/2020,0,4
24,11/28/2020,0,4
25,11/29/2020,0,4
26,11/30/2020,0,4
27,12/1/2020,0,4
28,12/2/2020,0,4
29,12/3/2020,0,4
30,12/4/2020,0,4
31,12/5/2020,0,4
32,12/6/2020,0,4
33,12/7/2020,1,5
34,12/8/2020,1,6
35,12/9/2020,0,6
36,12/10/2020,1,7
37,12/11/2020,0,7
38,12/12/2020,0,7
39,12/13/2020,2,9
40,12/14/2020,0,9
41,12/15/2020,0,9
42,12/16/2020,0,9
43,12/17/2020,0,9
44,12/18/2020,0,9
45,12/19/2020,0,9
46,12/20/2020,0,9
47,12/21/2020,1,10
48,12/22/2020,1,11
49,12/23/2020,0,11
50,12/24/2020,2,13
51,12/25/2020,1,14
52,12/26/2020,1,15
53,12/27/2020,0,15
54,12/28/2020,1,16
55,12/29/2020,1,17
56,12/30/2020,1,18
57,12/31/2020,1,19
58,1/1/2021,0,19
59,1/2/2021,1,20
60,1/3/2021,0,20
61,1/4/2021,0,20
62,1/5/2021,0,20
63,1/6/2021,1,21
64,1/7/2021,1,22
65,1/8/2021,1,23
66,1/9/2021,2,25
67,1/10/2021,2,27
68,1/11/2021,1,28
69,1/12/2021,2,30
70,1/13/2021,2,32
71,1/14/2021,1,33
72,1/15/2021,2,35
73,1/16/2021,2,37
74,1/17/2021,1,38
75,1/18/2021,4,42
76,1/19/2021,3,45
77,1/20/2021,3,48
78,1/21/2021,4,52
79,1/22/2021,3,55
80,1/23/2021,4,59
81,1/24/2021,4,63
82,1/25/2021,3,66
83,1/26/2021,4,70
84,1/27/2021,4,74
85,1/28/2021,5,79
86,1/29/2021,4,83
87,1/30/2021,4,87
88,1/31/2021,4,91
89,2/1/2021,4,95
90,2/2/2021,4,99
91,2/3/2021,4,103
92,2/4/2021,4,107
93,2/5/2021,4,111
94,2/6/2021,4,115
95,2/7/2021,4,119
96,2/8/2021,3,122
97,2/9/2021,3,125
98,2/10/2021,4,129
99,2/11/2021,4,133
100,2/12/2021,4,137
101,2/13/2021,4,141
102,2/14/2021,3,144
103,2/15/2021,3,147
104,2/16/2021,3,150
105,2/17/2021,4,154
106,2/18/2021,4,158
107,2/19/2021,4,162
108,2/20/2021,4,166
109,2/21/2021,3,169
110,2/22/2021,4,173
111,2/23/2021,3,176
112,2/24/2021,4,180
113,2/25/2021,4,184
114,2/26/2021,4,188
115,2/27/2021,4,192
116,2/28/2021,4,196
117,3/1/2021,4,200
118,3/2/2021,4,204
119,3/3/2021,4,208
120,3/4/2021,4,212
121,3/5/2021,4,216
122,3/6/2021,4,220
123,3/7/2021,4,224
124,3/8/2021,4,228
125,3/9/2021,4,232
126,3/10/2021,3,235
127,3/11/2021,5,240
128,3/12/2021,4,244
129,3/13/2021,4,248
130,3/14/2021,3,251
131,3/15/2021,4,255
132,3/16/2021,4,259
133,3/17/2021,4,263
134,3/18/2021,4,267
135,3/19/2021,4,271
136,3/20/2021,4,275
137,3/21/2021,4,279
138,3/22/2021,3,282
139,3/23/2021,3,285
140,3/24/2021,4,289
141,3/25/2021,4,293
142,3/26/2021,4,297
143,3/27/2021,4,301
144,3/28/2021,3,304
145,3/29/2021,3,307
146,3/30/2021,3,310
147,3/31/2021,3,313
148,4/1/2021,3,316
149,4/2/2021,4,320
150,4/3/2021,3,323
151,4/4/2021,4,327
152,4/5/2021,4,331
153,4/6/2021,3,334
154,4/7/2021,4,338
155,4/8/2021,3,341
156,4/9/2021,3,344
157,4/10/2021,4,348
158,4/11/2021,3,351
159,4/12/2021,4,355
160,4/13/2021,3,358
161,4/14/2021,4,362
162,4/15/2021,4,366
163,4/16/2021,3,369
164,4/17/2021,2,371
165,4/18/2021,4,375
166,4/19/2021,4,379
167,4/20/2021,4,383
168,4/21/2021,3,386
169,4/22/2021,4,390
170,4/23/2021,3,393
171,4/24/2021,4,397
172,4/25/2021,4,401
173,4/26/2021,4,405
174,4/27/2021,4,409
175,4/28/2021,4,413
176,4/29/2021,3,416
177,4/30/2021,4,420
178,5/1/2021,3,423
179,5/2/2021,3,426
180,5/3/2021,3,429
181,5/4/2021,3,432
182,5/5/2021,2,434
183,5/6/2021,3,437
184,5/7/2021,3,440
185,5/8/2021,3,443
186,5/9/2021,3,446
187,5/10/2021,4,450
188,5/11/2021,3,453
189,5/12/2021,3,456
190,5/13/2021,3,459
191,5/14/2021,3,462
192,5/15/2021,3,465
193,5/16/2021,3,468
194,5/17/2021,3,471
195,5/18/2021,3,474
196,5/19/2021,3,477
